"","X.3","X.2","X.1","X","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","cnt_mov_avg_7","cnt_lag_1","cnt_lag_2","cnt_lag_3","cnt_lag_4","cnt_lag_5","cnt_lag_6","cnt_lag_7","cnt_lag_8","cnt_tom","r_cnt_mov_avg_7","r_cnt_mov_avg_2","r_cnt_mov_avg_21","weekly_trend","AR"
"107",107,107,107,107,"2011-04-17",2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3072.71428571429,795,3126,3267,2162,2034,3348,2895,2455,3429,2518.14285714286,1960.5,2357.47619047619,0.676171079429735,2954.45864402212
"108",108,108,108,108,"2011-04-18",2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,3204.42857142857,3744,795,3126,3267,2162,2034,3348,2895,3204,2639.42857142857,2269.5,2455.14285714286,-0.293264248704663,3042.11536687925
"109",109,109,109,109,"2011-04-19",2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2998.28571428571,3429,3744,795,3126,3267,2162,2034,3348,3944,2651,3586.5,2521.85714285714,-0.0241935483870968,2904.11491430783
"110",110,110,110,110,"2011-04-20",2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,3461.28571428571,3204,3429,3744,795,3126,3267,2162,2034,4189,2818.14285714286,3316.5,2558.95238095238,-0.575221238938053,3385.88938116497
"111",111,111,111,111,"2011-04-21",2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,3525.14285714286,3944,3204,3429,3744,795,3126,3267,2162,1683,3072.71428571429,3574,2673.61904761905,-0.824236817761332,3674.08980116497
"112",112,112,112,112,"2011-04-22",2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,3617.14285714286,4189,3944,3204,3429,3744,795,3126,3267,4036,3204.42857142857,4066.5,2792.85714285714,-0.282216100397919,2613.42494859354
"113",113,113,113,113,"2011-04-23",2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,3788,1683,4189,3944,3204,3429,3744,795,3126,4191,2998.28571428571,2936,2766.95238095238,0.461612284069098,3366.72647259354
"114",114,114,114,114,"2011-04-24",2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,3777.71428571429,4036,1683,4189,3944,3204,3429,3744,795,4073,3461.28571428571,2859.5,2851.90476190476,-4.07672955974843,3985.71562916496
"115",115,115,115,115,"2011-04-25",2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,3759,4191,4036,1683,4189,3944,3204,3429,3744,4400,3525.14285714286,4113.5,2896.7619047619,-0.119391025641026,3798.62028002211
"116",116,116,116,116,"2011-04-26",2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,4175,4073,4191,4036,1683,4189,3944,3204,3429,3872,3617.14285714286,4132,2942.38095238095,-0.187809857101196,4004.28010059354
"117",117,117,117,117,"2011-04-27",2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,4357.28571428571,4400,4073,4191,4036,1683,4189,3944,3204,4058,3788,4236.5,3066.42857142857,-0.373283395755306,3907.33940345068
"118",118,118,118,118,"2011-04-28",2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,4237.28571428571,3872,4400,4073,4191,4036,1683,4189,3944,4595,3777.71428571429,4136,3117.09523809524,0.0182555780933063,3903.5943737364
"119",119,119,119,119,"2011-04-29",2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,4284.14285714286,4058,3872,4400,4073,4191,4036,1683,4189,5312,3759,3965,3160.7619047619,0.0312723800429697,4121.27030116497
"120",120,120,120,120,"2011-04-30",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4291.42857142857,4595,4058,3872,4400,4073,4191,4036,1683,3351,4175,4326.5,3309.52380952381,-1.73024361259655,4855.04884402211
"121",121,121,121,121,"2011-05-01",2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,4114.42857142857,5312,4595,4058,3872,4400,4073,4191,4036,4401,4357.28571428571,4953.5,3445.57142857143,-0.31615460852329,4010.63219430782
"122",122,122,122,122,"2011-05-02",2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,4168,3351,5312,4595,4058,3872,4400,4073,4191,4451,4237.28571428571,4331.5,3467.28571428571,0.200429491768074,4265.42576116497
"123",123,123,123,123,"2011-05-03",2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,4169.85714285714,4401,3351,5312,4595,4058,3872,4400,4073,2633,4284.14285714286,3876,3517.42857142857,-0.080530321630248,4385.71134402211
"124",124,124,124,124,"2011-05-04",2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,4084.42857142857,4451,4401,3351,5312,4595,4058,3872,4400,4433,4291.42857142857,4426,3632.52380952381,-0.0115909090909091,3587.50558287925
"125",125,125,125,125,"2011-05-05",2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,4224.71428571429,2633,4451,4401,3351,5312,4595,4058,3872,4608,4114.42857142857,3542,3654.95238095238,0.319989669421488,4184.8362497364
"126",126,126,126,126,"2011-05-06",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,4219.14285714286,4433,2633,4451,4401,3351,5312,4595,4058,4714,4168,3533,3710.47619047619,-0.0924100542138985,4390.44774230783
"127",127,127,127,127,"2011-05-07",2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,4269.42857142857,4608,4433,2633,4451,4401,3351,5312,4595,4333,4169.85714285714,4520.5,3781.04761904762,-0.00282916213275299,4414.95046287925
"128",128,128,128,128,"2011-05-08",2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,4490.71428571429,4714,4608,4433,2633,4451,4401,3351,5312,4362,4084.42857142857,4661,3967.66666666667,0.112575301204819,4164.15364002211
"129",129,129,129,129,"2011-05-09",2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,4552.28571428571,4333,4714,4608,4433,2633,4451,4401,3351,4803,4224.71428571429,4523.5,3995.71428571429,-0.293046851686064,4353.86471602212
"130",130,130,130,130,"2011-05-10",2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,4480.42857142857,4362,4333,4714,4608,4433,2633,4451,4401,4182,4219.14285714286,4347.5,4040.14285714286,0.00886162235855487,4478.18141030782
"131",131,131,131,131,"2011-05-11",2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,4294,4803,4362,4333,4714,4608,4433,2633,4451,4864,4269.42857142857,4582.5,4116.28571428571,-0.0790833520557178,4262.64383087925
"132",132,132,132,132,"2011-05-12",2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,4325.42857142857,4182,4803,4362,4333,4714,4608,4433,2633,4105,4490.71428571429,4492.5,4127.61904761905,-0.588302316748956,4756.78716002212
"133",133,133,133,133,"2011-05-13",2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,4267.71428571429,4864,4182,4803,4362,4333,4714,4608,4433,3409,4552.28571428571,4523,4159.7619047619,-0.0972253552898714,4394.94181945068
"134",134,134,134,134,"2011-05-14",2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,4170.57142857143,4105,4864,4182,4803,4362,4333,4714,4608,4553,4480.42857142857,4484.5,4275.09523809524,0.109157986111111,3995.86533430783
"135",135,135,135,135,"2011-05-15",2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,4123.85714285714,3409,4105,4864,4182,4803,4362,4333,4714,3958,4294,3757,4245.2380952381,0.276834959694527,4334.60437030783
"136",136,136,136,136,"2011-05-16",2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,4082.57142857143,4553,3409,4105,4864,4182,4803,4362,4333,4123,4325.42857142857,3981,4262.47619047619,-0.0507731363951073,4189.55786745068
"137",137,137,137,137,"2011-05-17",2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,4198.57142857143,3958,4553,3409,4105,4864,4182,4803,4362,3855,4267.71428571429,4255.5,4257,0.0926180651077487,4189.53735602212
"138",138,138,138,138,"2011-05-18",2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,4540.85714285714,4123,3958,4553,3409,4105,4864,4182,4803,4575,4170.57142857143,4040.5,4243.80952380952,0.141578180303977,4001.5653697364
"139",139,139,139,139,"2011-05-19",2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,4556.14285714286,3855,4123,3958,4553,3409,4105,4864,4182,4917,4123.85714285714,3989,4243,0.0781922525107604,4307.80123259354
"140",140,140,140,140,"2011-05-20",2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,4601.28571428571,4575,3855,4123,3958,4553,3409,4105,4864,5805,4082.57142857143,4215,4267.61904761905,0.0594161184210526,4434.41365716497
"141",141,141,141,141,"2011-05-21",2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,4654,4917,4575,3855,4123,3958,4553,3409,4105,4660,4198.57142857143,4746,4282.95238095238,-0.197807551766139,4951.80189430783
"142",142,142,142,142,"2011-05-22",2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,4814.42857142857,5805,4917,4575,3855,4123,3958,4553,3409,4274,4540.85714285714,5361,4306.42857142857,-0.702845409210912,4749.42135659354
"143",143,143,143,143,"2011-05-23",2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,4829,4660,5805,4917,4575,3855,4123,3958,4553,4492,4556.14285714286,5232.5,4368.7619047619,-0.0235009883593235,4450.1371657364
"144",144,144,144,144,"2011-05-24",2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,4795,4274,4660,5805,4917,4575,3855,4123,3958,4978,4601.28571428571,4467,4362.71428571429,-0.0798383021728146,4582.83880973639
"145",145,145,145,145,"2011-05-25",2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,4645.42857142857,4492,4274,4660,5805,4917,4575,3855,4123,4677,4654,4383,4364.66666666667,-0.089497938394373,4825.97340287925
"146",146,146,146,146,"2011-05-26",2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,4663.71428571429,4978,4492,4274,4660,5805,4917,4575,3855,4679,4814.42857142857,4735,4476.33333333333,-0.291309987029831,4833.62145545068
"147",147,147,147,147,"2011-05-27",2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,4638.57142857143,4677,4978,4492,4274,4660,5805,4917,4575,4758,4829,4827.5,4487.95238095238,-0.0222950819672131,4779.76251430783
"148",148,148,148,148,"2011-05-28",2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,4565.71428571429,4679,4677,4978,4492,4274,4660,5805,4917,4788,4795,4678,4491.33333333333,0.0484034980679276,4773.59127602211
"149",149,149,149,149,"2011-05-29",2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,4422.28571428571,4758,4679,4677,4978,4492,4274,4660,5805,4098,4645.42857142857,4718.5,4493.42857142857,0.180361757105943,4651.66349545068
"150",150,150,150,150,"2011-05-30",2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,4463.85714285714,4788,4758,4679,4677,4978,4492,4274,4660,3982,4663.71428571429,4773,4515.09523809524,-0.0274678111587983,4436.52081602212
"151",151,151,151,151,"2011-05-31",2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,4554.28571428571,4098,4788,4758,4679,4677,4978,4492,4274,3974,4638.57142857143,4443,4502.52380952381,0.0411792232101076,4353.3756617364
"152",152,152,152,152,"2011-06-01",2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,4637.71428571429,3982,4098,4788,4758,4679,4677,4978,4492,4968,4565.71428571429,4040,4463.42857142857,0.11353517364203,4287.92306745069
"153",153,153,153,153,"2011-06-02",2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,4654.57142857143,3974,3982,4098,4788,4758,4679,4677,4978,5312,4422.28571428571,3978,4453.52380952381,0.201687424668542,4605.30423545068
"154",154,154,154,154,"2011-06-03",2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,4718.85714285714,4968,3974,3982,4098,4788,4758,4679,4677,5342,4463.85714285714,4471,4458.47619047619,-0.0622193713919179,4857.4116617364
"155",155,155,155,155,"2011-06-04",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,4840.42857142857,5312,4968,3974,3982,4098,4788,4758,4679,4906,4554.28571428571,5140,4515.95238095238,-0.135285317375508,4942.84216287925
"156",156,156,156,156,"2011-06-05",2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,4901.42857142857,5342,5312,4968,3974,3982,4098,4788,4758,4548,4637.71428571429,5327,4608,-0.122740647330811,4798.88938859354
"157",157,157,157,157,"2011-06-06",2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,4751,4906,5342,5312,4968,3974,3982,4098,4788,4833,4654.57142857143,5124,4624.80952380952,-0.0246449456975773,4625.0794057364
"158",158,158,158,158,"2011-06-07",2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,4647.28571428571,4548,4906,5342,5312,4968,3974,3982,4098,4401,4718.85714285714,4727,4652.90476190476,-0.109809663250366,4805.18460059354
"159",159,159,159,159,"2011-06-08",2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,4593.57142857143,4833,4548,4906,5342,5312,4968,3974,3982,3915,4840.42857142857,4690.5,4686.71428571429,-0.213711702661979,4712.39434802211
"160",160,160,160,160,"2011-06-09",2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,4529.85714285714,4401,4833,4548,4906,5342,5312,4968,3974,4586,4901.42857142857,4617,4712.71428571429,-0.107448414695521,4510.96480573639
"161",161,161,161,161,"2011-06-10",2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,4597.28571428571,3915,4401,4833,4548,4906,5342,5312,4968,4966,4751,4158,4681.28571428571,0.21195652173913,4624.01475430783
"162",162,162,162,162,"2011-06-11",2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,4605.57142857143,4586,3915,4401,4833,4548,4906,5342,5312,4460,4647.28571428571,4250.5,4665.52380952381,0.136671686746988,4749.40954230782
"163",163,163,163,163,"2011-06-12",2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,4716.85714285714,4966,4586,3915,4401,4833,4548,4906,5342,5020,4593.57142857143,4776,4625.57142857143,0.0703856233620367,4521.93518345069
"164",164,164,164,164,"2011-06-13",2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,4695.71428571429,4460,4966,4586,3915,4401,4833,4548,4906,4891,4529.85714285714,4713,4616.04761904762,0.0909090909090909,4723.30373659354
"165",165,165,165,165,"2011-06-14",2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,4732.57142857143,5020,4460,4966,4586,3915,4401,4833,4548,5180,4597.28571428571,4740,4651.57142857143,-0.103781882145998,4762.53331887925
"166",166,166,166,166,"2011-06-15",2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,4754.42857142857,4891,5020,4460,4966,4586,3915,4401,4833,3767,4605.57142857143,4955.5,4670.57142857143,-0.0120008276432857,4866.52282345068
"167",167,167,167,167,"2011-06-16",2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,4795,5180,4891,5020,4460,4966,4586,3915,4401,4844,4716.85714285714,5035.5,4680.19047619048,-0.177005226084981,4363.90975659354
"168",168,168,168,168,"2011-06-17",2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,4650.71428571429,3767,5180,4891,5020,4460,4966,4586,3915,5119,4695.71428571429,4473.5,4636.85714285714,0.0378033205619413,4759.88980230783
"169",169,169,169,169,"2011-06-18",2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,4642.71428571429,4844,3767,5180,4891,5020,4460,4966,4586,4744,4732.57142857143,4305.5,4644.71428571429,-0.0562581770606193,4924.6605217364
"170",170,170,170,170,"2011-06-19",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4546.57142857143,5119,4844,3767,5180,4891,5020,4460,4966,4010,4754.42857142857,4981.5,4661.90476190476,-0.0308095046314942,4768.62338516496
"171",171,171,171,171,"2011-06-20",2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,4692.71428571429,4744,5119,4844,3767,5180,4891,5020,4460,4835,4795,4931.5,4659.80952380952,-0.063677130044843,4482.71592630783
"172",172,172,172,172,"2011-06-21",3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,4713.71428571429,4010,4744,5119,4844,3767,5180,4891,5020,4507,4650.71428571429,4377,4655.61904761905,0.201195219123506,4677.2500137364
"173",173,173,173,173,"2011-06-22",3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,4725.57142857143,4835,4010,4744,5119,4844,3767,5180,4891,4790,4642.71428571429,4422.5,4696.2380952381,0.0114496013085259,4589.89793487926
"174",174,174,174,174,"2011-06-23",3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,4805.71428571429,4507,4835,4010,4744,5119,4844,3767,5180,4991,4546.57142857143,4671,4721.61904761905,0.12992277992278,4619.4472897364
"175",175,175,175,175,"2011-06-24",3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,4905.42857142857,4790,4507,4835,4010,4744,5119,4844,3767,5202,4692.71428571429,4648.5,4713.14285714286,-0.271568887709052,4893.93565545068
"176",176,176,176,176,"2011-06-25",3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,4878.71428571429,4991,4790,4507,4835,4010,4744,5119,4844,5305,4713.71428571429,4890.5,4697.85714285714,-0.0303468208092486,4942.94953087926
"177",177,177,177,177,"2011-06-26",3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,4981.28571428571,5202,4991,4790,4507,4835,4010,4744,5119,4708,4725.57142857143,5096.5,4691.19047619048,-0.0162141043172495,4990.2250977364
"178",178,178,178,178,"2011-06-27",3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,5084.85714285714,5305,5202,4991,4790,4507,4835,4010,4744,4648,4805.71428571429,5253.5,4710.19047619048,-0.118254637436762,4807.38307145068
"179",179,179,179,179,"2011-06-28",3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,5137.85714285714,4708,5305,5202,4991,4790,4507,4835,4010,5225,4905.42857142857,5006.5,4717.80952380952,-0.174064837905237,4846.56517259353
"180",180,180,180,180,"2011-06-29",3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,5126,4648,4708,5305,5202,4991,4790,4507,4835,5515,4878.71428571429,4678,4709,0.0386763185108583,5026.00586002212
"181",181,181,181,181,"2011-06-30",3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,5032.28571428571,5225,4648,4708,5305,5202,4991,4790,4507,5362,4981.28571428571,4936.5,4748.2380952381,-0.159307743510095,5265.37632345068
"182",182,182,182,182,"2011-07-01",3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,5223,5515,5225,4648,4708,5305,5202,4991,4790,5119,5084.85714285714,5370,4824.42857142857,-0.151356993736952,5258.5582737364
"183",183,183,183,183,"2011-07-02",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,5225.42857142857,5362,5515,5225,4648,4708,5305,5202,4991,4649,5137.85714285714,5438.5,4861.38095238095,-0.0743338008415147,5161.86298345068
"184",184,184,184,184,"2011-07-03",3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,5140.28571428571,5119,5362,5515,5225,4648,4708,5305,5202,6043,5126,5240.5,4868.66666666667,0.0159554017685506,4924.10540459354
"185",185,185,185,185,"2011-07-04",3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,5008.42857142857,4649,5119,5362,5515,5225,4648,4708,5305,4665,5032.28571428571,4884,4877.66666666667,0.123656927426956,5437.62580630782
"186",186,186,186,186,"2011-07-05",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,4819.57142857143,6043,4649,5119,5362,5515,5225,4648,4708,4629,5223,5346,4926.38095238095,-0.283559898045879,5073.61599487925
"187",187,187,187,187,"2011-07-06",3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,4850.57142857143,4665,6043,4649,5119,5362,5515,5225,4648,4592,5225.42857142857,5354,4915.61904761905,-0.00365748709122203,4978.11941145068
"188",188,188,188,188,"2011-07-07",3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,4883.71428571429,4629,4665,6043,4649,5119,5362,5515,5225,4040,5140.28571428571,4647,4889.38095238095,0.114066985645933,4875.94609259354
"189",189,189,189,189,"2011-07-08",3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,4604.14285714286,4592,4629,4665,6043,4649,5119,5362,5515,5336,5008.42857142857,4610.5,4928.66666666667,0.167361740707162,4542.43841030782
"190",190,190,190,190,"2011-07-09",3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,4546,4040,4592,4629,4665,6043,4649,5119,5362,4881,4819.57142857143,4316,4890.38095238095,0.246549794852667,4970.31845887926
"191",191,191,191,191,"2011-07-10",3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,4505,5336,4040,4592,4629,4665,6043,4649,5119,4086,4850.57142857143,4688,4900.71428571429,-0.0423910920101582,4886.36284230783
"192",192,192,192,192,"2011-07-11",3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,4575.28571428571,4881,5336,4040,4592,4629,4665,6043,4649,4258,4883.71428571429,5108.5,4907.2380952381,-0.0499032049903205,4562.72986745069
"193",193,193,193,193,"2011-07-12",3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,4789.28571428571,4086,4881,5336,4040,4592,4629,4665,6043,4342,4604.14285714286,4483.5,4910.85714285714,0.323845771967566,4343.13528230783
"194",194,194,194,194,"2011-07-13",3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,4873.14285714286,4258,4086,4881,5336,4040,4592,4629,4665,5084,4546,4172,4883.38095238095,0.0872454448017149,4442.03055945068
"195",195,195,195,195,"2011-07-14",3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,4933.28571428571,4342,4258,4086,4881,5336,4040,4592,4629,5538,4505,4300,4875.52380952381,0.06200043205876,4746.63786402211
"196",196,196,196,196,"2011-07-15",3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,4986.42857142857,5084,4342,4258,4086,4881,5336,4040,4592,5923,4575.28571428571,4713,4889.52380952381,-0.107142857142857,5030.72991830782
"197",197,197,197,197,"2011-07-16",3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,5026.85714285714,5538,5084,4342,4258,4086,4881,5336,4040,5302,4789.28571428571,5311,4915.57142857143,-0.370792079207921,5380.66508916497
"198",198,198,198,198,"2011-07-17",3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,5025.42857142857,5923,5538,5084,4342,4258,4086,4881,5336,4458,4873.14285714286,5730.5,4949.90476190476,-0.110007496251874,5103.85901202211
"199",199,199,199,199,"2011-07-18",3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,4839.71428571429,5302,5923,5538,5084,4342,4258,4086,4881,4541,4933.28571428571,5612.5,4949.7619047619,-0.0862528170456874,4763.23067773639
"200",200,200,200,200,"2011-07-19",3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,4532.42857142857,4458,5302,5923,5538,5084,4342,4258,4086,4332,4986.42857142857,4880,4937.85714285714,-0.0910425844346549,4826.24626630782
"201",201,201,201,201,"2011-07-20",3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,4155.57142857143,4541,4458,5302,5923,5538,5084,4342,4258,3784,5026.85714285714,4499.5,4932.7619047619,-0.0664631282292156,4753.44694916497
"202",202,202,202,202,"2011-07-21",3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3913.28571428571,4332,4541,4458,5302,5923,5538,5084,4342,3387,5025.42857142857,4436.5,4890.2380952381,0.00230308613542146,4497.85724802211
"203",203,203,203,203,"2011-07-22",3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,3825,3784,4332,4541,4458,5302,5923,5538,5084,3285,4839.71428571429,4058,4807.80952380952,0.255704169944925,4141.28300402212
"204",204,204,204,204,"2011-07-23",3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,3832,3387,3784,4332,4541,4458,5302,5923,5538,3606,4532.42857142857,3585.5,4713.7619047619,0.388407367280607,3870.15616859354
"205",205,205,205,205,"2011-07-24",3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,3878.28571428571,3285,3387,3784,4332,4541,4458,5302,5923,3840,4155.57142857143,3336,4626.42857142857,0.445382407563735,3764.67573087926
"206",206,206,206,206,"2011-07-25",3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,3964.85714285714,3606,3285,3387,3784,4332,4541,4458,5302,4590,3913.28571428571,3445.5,4576.7619047619,0.319879290833648,3786.23876402211
"207",207,207,207,207,"2011-07-26",3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,4030.42857142857,3840,3606,3285,3387,3784,4332,4541,4458,4656,3825,3723,4471.85714285714,0.138627187079408,4126.55300287925
"208",208,208,208,208,"2011-07-27",3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,4200.42857142857,4590,3840,3606,3285,3387,3784,4332,4541,4390,3832,4215,4468.28571428571,-0.010790574763268,4200.19394002211
"209",209,209,209,209,"2011-07-28",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,4299.85714285714,4656,4590,3840,3606,3285,3387,3784,4332,3846,3878.28571428571,4623,4469.57142857143,-0.074792243767313,4128.56221830782
"210",210,210,210,210,"2011-07-29",3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,4360.71428571429,4390,4656,4590,3840,3606,3285,3387,3784,4475,3964.85714285714,4523,4459.95238095238,-0.16014799154334,3960.1703577364
"211",211,211,211,211,"2011-07-30",3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4397.14285714286,3846,4390,4656,4590,3840,3606,3285,3387,4302,4030.42857142857,4118,4450.71428571429,-0.135518157661647,4260.03404402211
